country_id,city_id
8971,917
2521,2559
2304,10648
209589,337420
259,258
122025,
1630,2610
7656,7655
111,14216
2866,2865
977,3724
,140624
2333,54266
3649,8566
31702,109950
497,35985
2147,6544
5196,312123
40662,40753
59097,211339
510,37072
20099,485
19872,68808
584,
32828,158084
17000,2724
49134,190896
13684,508885
31921,31920
23856,28846
9600,
1210,1345
16085,139693
266345,133739
49135,
512,5596
3452,5251
3215,
106844,364660
3560,6671
7776,4763
20285,
950,1088
3862,20480
25914,34186
7088,6175
2616,2617
38807,113031
9050,9049
13199,42335
39235,39234
20308,34825
95,3229
5169,23513
53438,116097
4483,225803
568,9577
1804,1808
32149,56166
2561,3869
325,2484
2323,57038
31450,155682
2389,6330
146,526
14157,22257
11861,14527
87608,
9112,9111
49133,105431
68091,133611
82731,136557
14861,42524
55296,106355
432,431
17155,
211,7393
1859,676
1174,8840
4625,50500
3899,1677
918,15542
1117,1105
17036,482637
26583,30282
403,3771
262,261
25979,37768
3091,3090
275480,275479
2202,44823
1873,10186
2332,10825
25293,25292
10037,190373
17300,19044
5544,37196
97957,48816
43350,43349
13433,13432
56785,56784
2716,2715
83769,128108
5457,17355
19132,243968
49515,490998
1127,45568
90212,
45772,52783
10803,119496
144486,660905
85517,286271
68687,149166
2817,4564
90886,330543
9319,
10436,10436
31058,88321
1606,13409
12981,13079
26787,26804
8224,148607
9176,30673
206982,1541
2572,13960
46187,194670
19736,19735
8906,259835
91,1726
2334,10801
747,6006
241631,3861630
199884,15542
8729,8728
3165,88132
4346,
1983,1986
2829,1989
4204,8170
255,1311
2335,20670
8138,1974
2123,744
24325,55910
85330,11700
28640,85342
85349,85351
84634,85368
27178,85355
,
2336,132
32821,55110
1374,755
39589,85395
19759,19761
2331,2331
16185,68678
7440,20660
43560,461288
7707,13011
741,15337
4932,42478
1991,1990
335,101431
43385,47006
18620,12717
56385,56384
6412,6860
1018,11031
203,13919
29523,245197
5091,713908
839,8721
911,
4193,
9237,13092
11921,77350
1076,1075
4116,198320
169973,460866
52369,87847
1153,2860
2330,68767
799,2838
69,2632
607,606
810,808
212416,444037
102771,102771
3924,3923
5155,5154
5182,
32651,137285
3672,3673
